_id,version,task,pretrained,classifier,acc,avg_pre,avg_recall,avg_f1
66bb4683b1106eb38646a5b5,1,cls,distilbert-base-multilingual-cased,cnn,0.387230514,0.445297894,0.43469002,0.245283269
66bb472c13c062c5487bd66c,2,cls,distilbert-base-multilingual-cased,cnn,0.466832504,0.563221647,0.399790051,0.340687116
66bb474813c062c5487bd66f,3,cls,distilbert-base-multilingual-cased,cnn,0.434494196,0.545584046,0.341449657,0.226329404
66bb476313c062c5487bd672,4,cls,distilbert-base-multilingual-cased,cnn,0.431177446,0.199321077,0.336636688,0.214716116
66bb477f13c062c5487bd675,5,cls,distilbert-base-multilingual-cased,cnn,0.446932007,0.568598627,0.35745088,0.261532256
66bb479b13c062c5487bd678,6,cls,distilbert-base-multilingual-cased,cnn,0.46185738,0.43023615,0.398714014,0.373992653
66bb47b713c062c5487bd67b,7,cls,distilbert-base-multilingual-cased,cnn,0.469320066,0.490151849,0.419413589,0.40634877
66bb47d313c062c5487bd67e,8,cls,distilbert-base-multilingual-cased,cnn,0.46185738,0.538586167,0.417176952,0.388639815
66bb47ef13c062c5487bd681,9,cls,distilbert-base-multilingual-cased,cnn,0.454394693,0.575994523,0.405367414,0.361780493
66bb480b13c062c5487bd684,10,cls,distilbert-base-multilingual-cased,cnn,0.440298507,0.606455604,0.404177767,0.342698156
66bb482713c062c5487bd687,11,cls,distilbert-base-multilingual-cased,cnn,0.464344942,0.565394671,0.428729332,0.39109585
66bb484313c062c5487bd68a,12,cls,distilbert-base-multilingual-cased,cnn,0.475953566,0.460861477,0.436140193,0.433453162
66bb485f13c062c5487bd68d,13,cls,distilbert-base-multilingual-cased,cnn,0.484245439,0.564151117,0.430919378,0.406443744
66bb487b13c062c5487bd690,14,cls,distilbert-base-multilingual-cased,cnn,0.462686567,0.564045249,0.390971138,0.336611065
66bb489713c062c5487bd693,15,cls,distilbert-base-multilingual-cased,cnn,0.470978441,0.552685082,0.401986995,0.358003003
66bb48b413c062c5487bd696,16,cls,distilbert-base-multilingual-cased,cnn,0.516583748,0.527704856,0.451879342,0.437624385
66bb48d113c062c5487bd699,17,cls,distilbert-base-multilingual-cased,cnn,0.487562189,0.458699154,0.434417254,0.411480748
66bb48ee13c062c5487bd69c,18,cls,distilbert-base-multilingual-cased,cnn,0.505804312,0.498161775,0.449818217,0.441089065
66bb490c13c062c5487bd69f,19,cls,distilbert-base-multilingual-cased,cnn,0.483416252,0.458606711,0.431748239,0.420787106
66bb492913c062c5487bd6a2,20,cls,distilbert-base-multilingual-cased,cnn,0.526533997,0.515179443,0.468127493,0.44127785
66bb494613c062c5487bd6a5,21,cls,distilbert-base-multilingual-cased,cnn,0.519900498,0.462081937,0.451220862,0.410890338
66bb496313c062c5487bd6a8,22,cls,distilbert-base-multilingual-cased,cnn,0.524875622,0.491182915,0.460864271,0.441355469
66bb498013c062c5487bd6ab,23,cls,distilbert-base-multilingual-cased,cnn,0.514096186,0.480454242,0.464571056,0.453695901
66bb499d13c062c5487bd6ae,24,cls,distilbert-base-multilingual-cased,cnn,0.524875622,0.516297507,0.479465576,0.480094681
66bb49ba13c062c5487bd6b1,25,cls,distilbert-base-multilingual-cased,cnn,0.520729685,0.504287145,0.468453226,0.463950035
66bb49d713c062c5487bd6b4,26,cls,distilbert-base-multilingual-cased,cnn,0.526533997,0.507087795,0.46225198,0.445803106
66bb49f413c062c5487bd6b7,27,cls,distilbert-base-multilingual-cased,cnn,0.527363184,0.512879961,0.455692596,0.429534132
66bb4a1213c062c5487bd6ba,28,cls,distilbert-base-multilingual-cased,cnn,0.525704809,0.493908514,0.454252189,0.425112423
66bb4a2f13c062c5487bd6bd,29,cls,distilbert-base-multilingual-cased,cnn,0.495854063,0.502228456,0.44610052,0.439796722
66bb4a4c13c062c5487bd6c0,30,cls,distilbert-base-multilingual-cased,cnn,0.525704809,0.541041367,0.48806256,0.49163977
66bb4a6913c062c5487bd6c3,31,cls,distilbert-base-multilingual-cased,cnn,0.504145937,0.492765169,0.479768643,0.483055087
66bb4a8613c062c5487bd6c6,32,cls,distilbert-base-multilingual-cased,cnn,0.511608624,0.525483848,0.486119834,0.490942149
