_id,version,task,pretrained,classifier,acc,avg_pre,avg_recall,avg_f1
66bacc3f537580b89523e831,1,acsa,distilbert-base-multilingual-cased,cnn,0.45454545454545453,0.2685406698564593,0.29015151515151516,0.24528326850308274
66bae47844eda8aed42dabd9,2,acsa,distilbert-base-multilingual-cased,cnn,0.39772727272727276,0.18790584415584416,0.30113636363636365,0.22838815789473685
66bae49444eda8aed42dabde,3,acsa,distilbert-base-multilingual-cased,cnn,0.48863636363636365,0.19385026737967914,0.2708333333333333,0.22564906939906942
66bae4b044eda8aed42dabe3,4,acsa,distilbert-base-multilingual-cased,cnn,0.4204545454545454,0.1954308712121212,0.3653846153846154,0.24636337293538105
66bae4cd44eda8aed42dabe8,5,acsa,distilbert-base-multilingual-cased,cnn,0.5,0.2560369318181818,0.3197916666666667,0.27668650793650795
66bae4ea44eda8aed42dabed,6,acsa,distilbert-base-multilingual-cased,cnn,0.3409090909090909,0.1803030303030303,0.3244047619047619,0.21811868686868688
66bae50644eda8aed42dabf2,7,acsa,distilbert-base-multilingual-cased,cnn,0.40909090909090906,0.20844155844155843,0.3194444444444444,0.2479575163398693
66bae52244eda8aed42dabf7,8,acsa,distilbert-base-multilingual-cased,cnn,0.5340909090909091,0.26922348484848485,0.3405448717948718,0.2959636409865243
66bae53e44eda8aed42dabfc,9,acsa,distilbert-base-multilingual-cased,cnn,0.48863636363636365,0.29659090909090907,0.36666666666666664,0.3067740652879972
66bae55a44eda8aed42dac01,10,acsa,distilbert-base-multilingual-cased,cnn,0.48863636363636365,0.26704545454545453,0.3701923076923077,0.30244784257942153
66bae57644eda8aed42dac06,11,acsa,distilbert-base-multilingual-cased,cnn,0.4318181818181818,0.2009032634032634,0.3141025641025641,0.22693001443001443
66bae59244eda8aed42dac0b,12,acsa,distilbert-base-multilingual-cased,cnn,0.4772727272727273,0.23242035742035744,0.3484848484848485,0.2747481684981685
66bae5ae44eda8aed42dac10,13,acsa,distilbert-base-multilingual-cased,cnn,0.46590909090909094,0.24017379679144385,0.3380681818181818,0.2717008868324658
66bae5ca44eda8aed42dac15,14,acsa,distilbert-base-multilingual-cased,cnn,0.5340909090909091,0.23431429681429683,0.31723484848484845,0.26918859649122806
66bae5e544eda8aed42dac1a,15,acsa,distilbert-base-multilingual-cased,cnn,0.40909090909090906,0.17978896103896103,0.2785714285714286,0.20959383753501398
66bae60144eda8aed42dac1f,16,acsa,distilbert-base-multilingual-cased,cnn,0.5454545454545454,0.30113636363636365,0.375,0.32863143631436315
66bae61d44eda8aed42dac24,17,acsa,distilbert-base-multilingual-cased,cnn,0.45454545454545453,0.2251893939393939,0.3375,0.2676641985465515
66bae63944eda8aed42dac29,18,acsa,distilbert-base-multilingual-cased,cnn,0.5227272727272727,0.253010878010878,0.31994047619047616,0.27854760248052934
66bae65544eda8aed42dac2e,19,acsa,distilbert-base-multilingual-cased,cnn,0.48863636363636365,0.24791181041181043,0.34732142857142856,0.2860380116959064
66bae67144eda8aed42dac33,20,acsa,distilbert-base-multilingual-cased,cnn,0.5454545454545454,0.2779771398192451,0.35,0.30649038461538464
66bae68d44eda8aed42dac38,21,acsa,distilbert-base-multilingual-cased,cnn,0.5454545454545454,0.2815656565656566,0.375,0.31989020270270274
66bae6a844eda8aed42dac3d,22,acsa,distilbert-base-multilingual-cased,cnn,0.46590909090909094,0.2521780303030303,0.3173611111111111,0.2694406288156288
66bae6c444eda8aed42dac42,23,acsa,distilbert-base-multilingual-cased,cnn,0.5,0.24632034632034633,0.33854166666666663,0.28009259259259256
66bae6e044eda8aed42dac47,24,acsa,distilbert-base-multilingual-cased,cnn,0.5340909090909092,0.27809714795008916,0.35625,0.31065491328649225
66bae6fc44eda8aed42dac4c,25,acsa,distilbert-base-multilingual-cased,cnn,0.5454545454545454,0.2727272727272727,0.3605769230769231,0.3053833502024291
66bae71844eda8aed42dac51,26,acsa,distilbert-base-multilingual-cased,cnn,0.4545454545454546,0.2272727272727273,0.3472222222222222,0.2690550041356493
66bae73444eda8aed42dac56,27,acsa,distilbert-base-multilingual-cased,cnn,0.40909090909090906,0.20454545454545453,0.36363636363636365,0.25603832442067737
66bae75044eda8aed42dac5b,28,acsa,distilbert-base-multilingual-cased,cnn,0.5113636363636364,0.2167207792207792,0.28598484848484845,0.2464574898785425
66bae76b44eda8aed42dac60,29,acsa,distilbert-base-multilingual-cased,cnn,0.5113636363636364,0.25577651515151517,0.359375,0.29744152046783623
66bae78744eda8aed42dac65,30,acsa,distilbert-base-multilingual-cased,cnn,0.5113636363636364,0.22833806818181818,0.30946969696969695,0.2625598086124402
66bae7a344eda8aed42dac6a,31,acsa,distilbert-base-multilingual-cased,cnn,0.38636363636363635,0.2182886557886558,0.354978354978355,0.26264880952380953
66bae7bf44eda8aed42dac6f,32,acsa,distilbert-base-multilingual-cased,cnn,0.5113636363636364,0.26891711229946524,0.3317307692307692,0.28144112099904783
66bae7db44eda8aed42dac74,33,acsa,distilbert-base-multilingual-cased,cnn,0.40909090909090906,0.2067099567099567,0.32552083333333337,0.2492063492063492
66bae7f644eda8aed42dac79,34,acsa,distilbert-base-multilingual-cased,cnn,0.46590909090909094,0.2463458110516934,0.35714285714285715,0.28556166056166055
66bae81244eda8aed42dac7e,35,acsa,distilbert-base-multilingual-cased,cnn,0.48863636363636365,0.24431818181818182,0.359375,0.28760351966873704
66bae82e44eda8aed42dac83,36,acsa,distilbert-base-multilingual-cased,cnn,0.4204545454545454,0.2134324009324009,0.33214285714285713,0.2561812005503956
66bae84944eda8aed42dac88,37,acsa,distilbert-base-multilingual-cased,cnn,0.45454545454545453,0.23446969696969694,0.35624999999999996,0.28005545652604474
66bae86544eda8aed42dac8d,38,acsa,distilbert-base-multilingual-cased,cnn,0.4318181818181818,0.24621212121212122,0.3979166666666667,0.29949874686716793
66bae88144eda8aed42dac92,39,acsa,distilbert-base-multilingual-cased,cnn,0.5,0.2435786435786436,0.312037037037037,0.2704385964912281
66bae89c44eda8aed42dac97,40,acsa,distilbert-base-multilingual-cased,cnn,0.5568181818181819,0.27840909090909094,0.3333333333333333,0.30124368411203295
66bae8b844eda8aed42dac9c,41,acsa,distilbert-base-multilingual-cased,cnn,0.48863636363636365,0.2188683712121212,0.3125,0.2555855855855856
66bae8d444eda8aed42daca1,42,acsa,distilbert-base-multilingual-cased,cnn,0.45454545454545453,0.22754791504791505,0.3361111111111111,0.26568786831944724
66bae8ef44eda8aed42daca6,43,acsa,distilbert-base-multilingual-cased,cnn,0.4545454545454545,0.22872960372960371,0.34635416666666663,0.27291997880233176
66bae90b44eda8aed42dacab,44,acsa,distilbert-base-multilingual-cased,cnn,0.36363636363636365,0.1777056277056277,0.31646825396825395,0.22588410364145659
66bae92744eda8aed42dacb0,45,acsa,distilbert-base-multilingual-cased,cnn,0.48863636363636365,0.258029008029008,0.34595959595959597,0.2950479325479326
66bae94244eda8aed42dacb5,46,acsa,distilbert-base-multilingual-cased,cnn,0.5,0.25887445887445887,0.3421875,0.28835770651627424
66bae95e44eda8aed42dacba,47,acsa,distilbert-base-multilingual-cased,cnn,0.5795454545454546,0.29087752525252525,0.36979166666666663,0.32305134024084603
66bae97a44eda8aed42dacbf,48,acsa,distilbert-base-multilingual-cased,cnn,0.5113636363636364,0.26021634615384615,0.3359375,0.2906264057579847
66bae99544eda8aed42dacc4,49,acsa,distilbert-base-multilingual-cased,cnn,0.43181818181818177,0.21396658896658893,0.3412698412698413,0.26216206179441476
66bae9b144eda8aed42dacc9,50,acsa,distilbert-base-multilingual-cased,cnn,0.3977272727272727,0.20340909090909093,0.3475378787878788,0.24982154151983374
66bae9cd44eda8aed42dacce,51,acsa,distilbert-base-multilingual-cased,cnn,0.5,0.26120580808080807,0.3482905982905983,0.2976106778284637
66bae9e844eda8aed42dacd3,52,acsa,distilbert-base-multilingual-cased,cnn,0.45454545454545453,0.2278409090909091,0.3504464285714286,0.27558479532163743
66baea0444eda8aed42dacd8,53,acsa,distilbert-base-multilingual-cased,cnn,0.5340909090909092,0.26763731060606066,0.35714285714285715,0.3022317065874235
