_id,version,task,pretrained,classifier,acc,avg_pre,avg_recall,avg_f1
66b645bff3cbe148ac346c3f,1,acsa,uitnlp/visobert,cnn,0.3409,0.2143,0.2448,0.2216
66b7af5f81a7436e9a36e2db,2,acsa,uitnlp/visobert,cnn,0.4431818181818181,0.22627591706539074,0.29166666666666663,0.23703703703703702
66b7af9a81a7436e9a36e2e0,3,acsa,uitnlp/visobert,cnn,0.45454545454545453,0.27776988636363636,0.3229166666666667,0.2692071817071817
66b7afd681a7436e9a36e2e5,4,acsa,uitnlp/visobert,cnn,0.3977272727272727,0.22884199134199135,0.38541666666666663,0.27951388888888884
66b7b05281a7436e9a36e2ea,5,acsa,uitnlp/visobert,cnn,0.45454545454545453,0.3262958532695375,0.4080357142857143,0.35595776772247356
66b7b08f81a7436e9a36e2ef,6,acsa,uitnlp/visobert,cnn,0.4431818181818182,0.2818722943722944,0.3381016042780749,0.29135255973491264
66b7b0ca81a7436e9a36e2f4,7,acsa,uitnlp/visobert,cnn,0.5,0.22253787878787878,0.2984307359307359,0.25403214054109197
66b7b10681a7436e9a36e2f9,8,acsa,uitnlp/visobert,cnn,0.5,0.2803030303030303,0.37731481481481477,0.3179951690821256
66b7b18281a7436e9a36e2fe,9,acsa,uitnlp/visobert,cnn,0.4772727272727273,0.23883061383061385,0.33839285714285716,0.2789374800923714
66b7b1bf81a7436e9a36e303,10,acsa,uitnlp/visobert,cnn,0.4431818181818182,0.345508658008658,0.3593253968253969,0.30301058352402743
66b7b1fa81a7436e9a36e308,11,acsa,uitnlp/visobert,cnn,0.4545454545454546,0.34535201640464797,0.3794642857142857,0.3289699883449883
66b7b23681a7436e9a36e30d,12,acsa,uitnlp/visobert,cnn,0.4772727272727273,0.2468434343434343,0.3273809523809524,0.27124819624819624
66b7b2b281a7436e9a36e312,13,acsa,uitnlp/visobert,cnn,0.5681818181818181,0.40800865800865804,0.3875,0.35902255639097747
66b7b2ef81a7436e9a36e317,14,acsa,uitnlp/visobert,cnn,0.4772727272727273,0.24778138528138527,0.2971611721611722,0.25712250712250717
66b7b32b81a7436e9a36e31c,15,acsa,uitnlp/visobert,cnn,0.48863636363636365,0.272979797979798,0.38148148148148153,0.3164540138224349
66b7b36681a7436e9a36e321,16,acsa,uitnlp/visobert,cnn,0.5113636363636364,0.3721861471861472,0.33982683982683987,0.3139231264231264
66b7b3e381a7436e9a36e326,17,acsa,uitnlp/visobert,cnn,0.5568181818181819,0.3084693084693085,0.32765151515151514,0.3114046174587125
